dataset,model,strategy,k_pct,fold,repeat_seed,mape,mse,rmse,selection_time_s,train_time_s,predict_time_s,total_time_s
Allstate Claims Severity,extratrees,mi,0.25,1,42,0.6764839115294594,4367376.006337474,2089.826788596958,1.5605439819628373,48.166610090003815,0.9115753219812176,51.17205091298092
Allstate Claims Severity,extratrees,mi,0.5,1,42,0.6431535982897576,3967630.49522233,1991.8911855877896,1.5605439819628373,119.18240583897568,1.0273257789667696,122.27977336198092
Allstate Claims Severity,extratrees,mi,0.75,1,42,0.624839725988546,3848244.2856049803,2023.320656648131,0.787839631292222,197.09755351438554,1.2985724307792903,199.18396557645707
Allstate Claims Severity,extratrees,mi,1.0,1,42,0.6317464712542531,3814725.475275242,1953.132221657111,0.0,264.4225472569815,1.5256196480477229,266.33295695798006
Allstate Claims Severity,extratrees,mi,0.25,2,42,0.782700297943728,4554062.596988049,2134.024975717962,1.2657563079847023,52.71223921695491,0.6909076000447385,55.11227644502651
Allstate Claims Severity,extratrees,mi,0.5,2,42,0.7350350583240315,4213985.313732308,2052.7993846774966,1.2657563079847023,127.37348782096524,1.8030196559848264,130.86550174001604
Allstate Claims Severity,extratrees,mi,0.75,2,42,0.723879591432294,4214173.081093511,1952.3216528902337,0.6590768236715702,200.59332763745178,1.478412617044835,202.73081707816817
Allstate Claims Severity,extratrees,mi,1.0,2,42,0.7218088533070783,4129812.529167324,2032.1940185836893,0.0,256.07891125400783,1.05712080700323,257.68098080396885
Allstate Claims Severity,extratrees,mi,0.25,3,42,0.6795227702455566,4483140.4616149925,2117.342783210832,1.2042469939915463,45.6331492709578,1.5008292440325022,48.843539979017805
Allstate Claims Severity,extratrees,mi,0.5,3,42,0.6528778136777135,3984748.443758602,1996.183469463316,1.2042469939915463,114.13199530297425,1.721305755956564,117.58440085098846
Allstate Claims Severity,extratrees,mi,0.75,3,42,0.660785396136692,4152345.6493255524,2025.3543968722724,0.5933469019691938,189.87654274111003,1.353200402475527,191.82309004555475
Allstate Claims Severity,extratrees,mi,1.0,3,42,0.6463493585961525,3903072.7877689935,1975.6195959164288,0.0,257.50315631798003,1.0915562779991888,259.1002805349999
Allstate Claims Severity,extratrees,mi,0.25,4,42,0.7097438533664254,4670687.333777893,2161.1773027167146,1.2357536989729851,49.012405166984536,1.0504875920014456,51.78981072898023
Allstate Claims Severity,extratrees,mi,0.5,4,42,0.6474099387037845,4124575.601387684,2030.9051187555965,1.2357536989729851,122.1798656579922,1.705136010015849,125.69641676702304
Allstate Claims Severity,extratrees,mi,0.75,4,42,0.6363032541745571,4001836.3711228017,1983.3587035117941,0.571901417410409,192.04927433432852,1.6376016774889135,194.25877742922782
Allstate Claims Severity,extratrees,mi,1.0,4,42,0.6375725666049408,4021674.645702218,2005.4113407733128,0.0,259.44225881499005,1.476120728009846,261.35425365902483
Allstate Claims Severity,extratrees,mi,0.25,5,42,0.6847085148394944,4869601.803235379,2206.717427138187,1.1516601480543611,48.14295290503651,0.8511527340160683,50.62211640307214
Allstate Claims Severity,extratrees,mi,0.5,5,42,0.6449128682315994,4128759.602936147,2031.9349406258427,1.1516601480543611,118.42543324799044,0.7566474820487201,120.77455812203698
Allstate Claims Severity,extratrees,mi,0.75,5,42,0.6511732012576953,4237356.153164439,2081.6220153335858,0.5686650576310671,186.78789360636978,0.8753463347265685,188.23190499872743
Allstate Claims Severity,extratrees,mi,1.0,5,42,0.6330759745181875,3976469.947160397,1994.108810260964,0.0,260.8364212890156,0.9888298320001924,262.25544186204206
Allstate Claims Severity,extratrees,mi,0.25,1,123,0.7154620045821617,4321803.908455708,2078.894876720732,1.2138145419885404,51.35874904802768,1.4898419589735568,54.530623140977696
Allstate Claims Severity,extratrees,mi,0.5,1,123,0.6598375581296663,3972991.575294784,1993.2364574467283,1.2138145419885404,118.41843407496344,0.9074579239822924,121.07442742399871
Allstate Claims Severity,extratrees,mi,0.75,1,123,0.6498288378605356,3981635.224618633,1966.7956912676505,0.5971242560599558,190.643236700719,1.2068730372864815,192.4472339940654
Allstate Claims Severity,extratrees,mi,1.0,1,123,0.6565771193061466,3862878.852624732,1965.4207825869585,0.0,261.7598123019561,1.6220853609847836,263.7660343190073
